A100Y8WSLFJN7Q	scifi
A184Y9WJ8Z1B7H	Rockstar Mom
A185IBFDGM4M32	M. C. Ludwig
A185Q3JI7FN7VM	Danyari
A186J0MIIV3QC1	T. Ritchie
A186LWIDKB0JXJ	Bucky
A18758S1PUYIDT	Viva
A1879CGNRFAXOX	annette "enteranet"
A187O4M7CZMTDB	T. Hunter-Selbrede
A188JXCR8Y3CQE	Eliezer Colon
A1897ZWXMACHBU	Thomas B. Rosamond
A189Z1AMUJ9X4O	Rockin Roller
A18BD98SU49UB7	Adam Hunnicutt "A.H."
A18BV4O63DOWNH	"juno2"
A18D70EH5FTHYS	jackson, p
A18DRIV1PGJSZF	S. Barton "sbarton2"
A18FJ1NFAEVVYW	Tigereye
A18FK25N9J5FXA	Stinky Pete
A18G7GG53G2X8A	Chris Pandolfi
A18GL0PGHSADPQ	Nickolette Kinnamon
A18GP1PWVTKXQQ	Turfseer
A18ICIVGP5AHDP	Tawny Lara
A18IQME5DCSH2L	Madelyn Pryor "Goblyn Queen"
A18JZ5FSU7CXWO	"nov_angel"
A18L8A19V8XHRF	C. Thormann
A18LC2UPXD4DZ9	George Satterthwaite
A18MBO1U4DPY20	Harkanwar Anand
A18MMI1E0IC8OM	migbeil
A18O9Q6E4K1S8P	B. Garner "wanderer"
A18OUQEK7IZ2F2	Jason Kirkfield "The Pride and Sorrow of chil...
A18PRAQOCXAJ43	CaptiveWildWoman
A18Q5S8I3FMS86	butsuritsu
A18QZKTG2AEPQE	L. Merrick
A18RP7802IRG0R	Dave Blanchard
A18S6NZ3VSOB5X	Lucky 07 "JJ"
A18SC0K2OUTGFF	Midnight
A18SDN3HYFVH2L	Muzzlehatch
A18T13XS89ZCEI	Stephen Donst
A18UDHMBY4BAKU	Mr. Batt-Man
A18V98FU1N0D6H	Esteban Samaniego
A18VDZG0OEJRGL	MartiBelle
A18W6JE3GFSD5I	Nick H. Terry
A18WXJCKY44ENQ	Encarnacion Rodriguez III
A18XYPKYS15YBP	Lisa "southernbelle54"
A18Y3VRG7OP4J2	Kim F.
A18ZHKO16OW4G2	Ricky
A18ZOHJ7ZERQ8	Miz Ellen "all the letters of my real name"
A193A7T1E8CUTB	John F. Frederick
A193V4AM5BEMGQ	"jinxwad"
A193XTXJZ0BGS0	D. Garton "d4avon"
A194PR7PPY5M93	Richard B
A1960UAFT6R993	Doc Bunny
A19669N072TTKQ	newfiedad
A196IMI8WKWDFK	Vannie Ryanes "Vannie Ryanes/VSR Book Review"
A196V4NGCL8CTT	Robert
A199545U14YERT	#1 Kiss Army Soldier "Ramiro"
A19A8EL1S23P2R	Christopher Tinkawa
A19AFRNM8UAKSZ	Anna Kornish "novela fan"
A19BK539RB766A	Michael Greb "friar"
A19BXTXH13YG40	Jillymacc
A19DDULX2H5LLJ	Robert C. Ryniak "Robb"
A19DW3VKM5KKYB	TheBandit
A19EKT8H85AKO5	EnergyWork
A19ELFMMKB83HC	J. Carey "waymorefun"
A19FTIIBYPMF22	Christian Walldorf
A19HCG1C5IZ43M	Missteree "Missteree"
A19KXPPK2R2FU5	Ruben Cukier
A19LAYSX67AI3A	James Field "jamesfield10"
A19M0GYMX15WJQ	Dawn
A19O103MOTG4GU	Robert S. Campbell
A19O5ETNRJN39D	D. Myers
A19PAJQ019PG94	PumpkinGrower
A19PHVY41E0XSU	Dr. O'Boogie
A19QEHIGWIUFKB	Gunslinger
A19QIBFRAZNAIK	E. Kim "wangkon936"
A19QNQ8RNTGU2B	J. Vasquez Zuniga "J.Vasquez"
A19THR3ZXSIK49	CJShopper
A19TQ1J0ATDRSP	R. Vissers "Heller"
A19XHCNHJS3KM	lady hawke "isabo"
A19YOYY7FLQMA6	Tante Maren "Maren"
A19Z0LSQR259ME	Daisuke Fukumori "minnanouta"
A19ZXK9HHVRV1X	Roland E. Zwick
A1A19C00QZVRTK	Lucky, Sweet  & Pretty
A1A1FKWM2MJ0B	Jeffery L. Voyles
A1A2AZP3H15UZ2	C. Shaeffer "Disco*Tech"
A1A3SKFFI43ZN3	J. Smith "Old-timer"
A1A3TAZV5SIS09	Ocean Reader
A1A535W556ROBQ	James Ferguson
A1A5SGSGIHVE34	Etienne Brousseau
A1A5Y81Y7QEPE7	Annlovesbooks "adtreview"
A1A6NFLG75OSAF	Chappie's wife
A1A7YFVQXXN94	K. Nichols
A1A9B8C36D88ZP	Lera Hughes
A1A9I70YO7XSO4	Gayle
A1A9NP5KH47CU3	devzin98
A1AAB87UHOWJYN	Pat Huff
A1ABZZ5ALZFMAG	A Buckeye Fan
A1ACQV1N4R6C8A	Leesa "Leesa"
A1AD0R2W3E7KMK	Bob Allison
A1AE1MDRK6L2UM	Vince G.
A1AFHYBINSG7PH	K. Atkins
A1AFXJ8U72MD6L	MISTER SJEM "sonofhotpie"
A1AH4O9HJT1QOW	AMC "scifiali"
A1AISPOIIHTHXX	Cloud "..."
A1AIV6MT6LKX1N	~Vera
A1AK24HIWGNHNT	Michael
A1ALOEZ4NXHUT	R.L. Holly "piper909"
A1ALOIPRR8Q06J	2 cents "meaningless memes"
A1ALXOU35CWADD	"pumpkin_chick"
A1AMVC4V396KER	M. Shepherd "Midwest"
A1ANECOZNPF9ZH	Michael
A1AOUMPM23BY5A	Peter Obrien
A1AQII1XXE0G7C	willie muniz "wil"
A1B01Z2US27751	Blanche Thompson
A1B05INWIDZ74O	M. A. Ramos
A1B350OHYHQTGX	Hassaan Abdeen
A1B35ED8A68CVI	Brien Christoffersen "highflyinbrien"
A1B3E14QCCMCYZ	ksbel6
A1B3QYEZ1WE7EH	RJ13
A1B3XL8MXYC6ND	Pugmom "lover of dogs, books and horror movies"
A1B7D2BRAJ5VFT	ACR
A1B7XUC8C99NWJ	shane pinkerton
A1B86D9G9S2QOX	Sammy Swartz
A1BBILHPJ11VAJ	Gramcracker423
A1BDRDPOXPR0I4	Jennifer Dison
A1BEH1OIPN27MM	Lego Mom
A1BG3W8PI40ZC1	Guy Gadbois
A1BGPJPNGBV477	barb
A1BH34IMUVK9WP	J.J. Willard
A1BHCE2409B5QF	Victoria
A1BIUM2R7E0NJ1	pumpkin
A1BJ4X0Y4SBW40	Victor Destefano
A1BJJVV2B5VLUQ	R. Gorham "RCG2"
A1BMQA5PIZKU1P	Bryan "Dragonboots"
A1BQN95IAGAZGJ	Mare Hilchey
A1BRXLWP985V4E	Edward L. Roy
A1BVN8OVG91D0H	Martin "apartoflife"
A1BVV2K1BKGPD5	Peter Smith "petersm52"
A1BWHXTFOVF9CY	Blackhawk
A1BWYC2LJAOZ3L	Thomas C. Bock
A1BZ0HQ8SDZWYD	Rumble
A1BZKRDRPLAA90	D. McGinnis "dkm72"
A1BZZNC5DJG3TZ	Dianna Rollo
A1C0M4FU3CL443	D. Kennedy "Traderlady"
A1C58YXM2A30CY	Henry Rockwell "James"
A1C80B497LCYKA	Waitsel Smith "Movie Shark"
A1C8Q7YG48VMTE	C. Clemons
A1C9GCHR99WX3F	Stephen Verhaeren
A1CAZ14BI92EOU	Le
A1CAZ60BDI5H7	"janicebrandon"
A1CB80GUH0DKKX	BV
A1CBEDK93EC8EJ	Tammy S. Ware
A1CC63KLU8NO4Z	Mario Staiano
A1CDNTB7377YH2	Michael A. Newman
A1CDZNPO7U4E6N	LadyLestat
A1CE9259TTIIEA	Monsieur Mouton "M. Montgomery"
A1CI77RGQ5X98X	Sandra Myslichuk
A1CIQTLWE6RAZF	J. Burgos "I &#60;3 Books & Comics"
A1CIW2OEVAJRM2	Godly Gadfly
A1CK3RTS5QL2HO	J. Wasnock "Puppet Master"
A1CLHGYM5NIM4C	Christian Cavicchio
A1CLHLW9PFKG9Q	MasterAP
A1CM0DKB4ZXTTR	C. Bruinsslot
A1CO1N9IS94KMX	ASHI TOLEDANO
A1COW0UIB5HA9J	John Lindsey "John"
A1CPJXP2BWLAJE	Shawn Rhinehart
A1CRU79A1O9Z7Y	Gerhard P. Knapp "gpk"
A1CRVQQQ17GRLP	Levente Furi
A1CVLY6IVRGZBA	tajrob02
A1CXVAOCM2IN5Q	Kurt Miller
A1CZ0RFU1VBU7N	Samantha "Sams"
A1CZ8JTF1JCI72	Andreas Mihalakeas "LAAND"
A1D07Q3SZN1RLS	Montana S. Dugger "Montana Dugger"
A1D0V3O8BB4NHM	Adriana
A1D12NAC1U12F0	Frank J. Pickens "Blade"
A1D1AY2JJC59CY	Leroy Hart
A1D1GW27W0BU0I	D. Long "dl-orig1"
A1D1OIINL9M6C6	Crystal Dodson
A1D2C0WDCSHUWZ	E. A Solinas "ea_solinas"
A1D2JLLWMSTDXC	Clorman Borno "robk2"
A1D2ZN57YG2NMH	Media Lover
A1D4PD517HTWKC	S. Dowler "Citoyen du Monde"
A1D7VWS3DWS7X8	Joseph Siegler
A1D88GB7EBFQOA	Daniel J Gallagher
A1D90EZYM2N1L2	B. Weisenauer
A1DCRM9CLUJ9R4	Charles P. Gabriele Jr.
A1DDBYC8CSPZ26	Super Mom
A1DDVFGUC6NQD3	M. Gibson
A1DFGPMWBMQBQF	Writing Historian "Mark"
A1DFZBWE128C6U	Grandma L
A1DGMZ9TFG5I4X	Benjamin K. Potter "loyal reader/writer"
A1DGSUJ89KN91K	tepi "tepi"
A1DL822FZZQA00	Michael E. Hill "Major Rassendyll"
A1DMYUSXX77JEW	Robert Bauer
A1DPCXO7RDZM0S	Mick McAllister
A1DSVCBYFO6AZ3	Steven W. Strom
A1DU58OZJNPUHV	R Jess "Raymond Jess"
A1DUQ66TVT72Q4	S. Kubota
A1DURK17MGKBEB	Ben Wasden
A1DUWRMZVLRKAJ	maskedgamer
A1DXLNK6YXETVS	Just Here For the Food "Norb2009"
A1DZ4MTJY8LAVG	Ken Gingerly
A1E110L9ZKX6FD	All Powerful Wizard Of Oz
A1E330XTGY2EP9	brainiac723
A1E3F8WR57NKBL	Veese
A1E3PF3DJ1H1YC	Wally
A1E5FQDHJFVFZD	Mdzialo
A1E6YNW2FVAY7C	J. Miller
A1EAZHE4PM8PNV	S. Mccarthy "Darkknightboston"
A1EBJ93E1T50RT	Jason A. Miller
A1EBR9CZPS1PD8	travis
A1EEG7YJIYN60B	Lesley Aeschliman
A1EEMMDBA6ZSI4	Alexander
A1EGCF1H6ILK20	SpEd Lady
A1EGDRTJYF3AZK	B. Fitzgerald "mr. fitz"
A1EH7O11HJB2KK	melissa mccullough "jeanbee"
A1EHO1C89QIBOT	Randy Buck
A1EI099GJ13F0P	megan white
A1EI65WJC85U68	BD Ashley "vidiot_y2k"
A1EJT7NW91NWMP	James A. Moore "Jim"
A1ELZNLISUR7FI	J. Flynn "questionsleep"
A1EMDSTJDUE6B0	Randy Given
A1ENS5QP96I9WX	Bradford S. Smith
A1EPIZ8KWGU74Y	JanetSilva "JS"
A1EQGFZPJ4V24X	Frank Scoblete "Author of The Virgin Kiss and...
A1EQJ4X8EOUWMZ	Tracy Wooster
A1ER6IYOMM8VCT	! MR. KNOW IT ALL  ;-b "DR SHOCK"
A1ERDXS0QLEVKB	rzaster
A1ERMPGHDNSOZ7	B. COLE "tellin it like it is"
A1ERSU7NW18GYD	klesmith "John P. Klesmith"
A1ERZIZ48CBCSB	Charismatic Creature
A1ESFXPFZWN769	CDS
A1ESIMERJCCX6	themadbaroness "laurnie15"
A1ESUYMIG3TZT0	Bobby  W.
A1ETTI01TOOEO3	F. Rodriguez
A1EU2I0LTRWN2A	Kyle Clemens
A1EUYL3KUP6UKY	Chris S. Jackson "the future ain't what it us...
A1EV6MKSJZQ67M	L. Miltner
A1EVI18C2HOIAE	Mario
A1EYQMM8D3OFYV	Voltron1984
A1F1FOR46702YF	R. J Rey
A1F1RHNLDRD833	Music Man
A1F4T7UFY8P7H9	Michael R. Sudderth "School Hose Rocker"
A1F7G9XKAWUA1Z	C. Campbell
A1F876RWCB25D0	martin hingenbooper
A1FA6OMV8L0BAE	Debjyoti Guha "DJ"
A1FAX3ZIP2X6MF	Deborah G. McGlynn
A1FB8KWQ2QE4ZD	Wdtiii
A1FBZRYTAA6O1Z	Andrew Urquhart "Metal Guru"
A1FDSLK8IBY5B9	WallyG
A1FELVXDM22O3K	astrorev
A1FG91CM8221X1	Miles D. Moore
A1FGG93X6HT374	James O'Blivion
A1FHASD1V7MX9W	W. Dowell
A1FHCRVWLXK074	Rachel A. Murrell "Rachel Ann Murrell &#34;Mo...
A1FHTLL52XFC4T	captain howdy
A1FIOW794MHVCC	jlindler
A1FIY1WS58O7L1	Bryan Hargrave
A1FJYIYR17TDCT	The Captain "Retired Educator and Military Of...
A1FK05I1A4UO0P	scoope02
A1FKJCJ3S7B4BF	John Francis Rowe Jr.
A1FMJJKSVQDDQ	Eric S. Kim
A1FML9FCUPV6TI	J. M. Zuurbier
A1FNES0QEBJZD1	Steve Douglas
A1FOLVC0BVXOB7	Saperia911
A1FPFWDC1ASYNJ	Rodrigo Llamozas
A1FQSRS6P88639	Bruce Wayne "Onin Solstice"
A1FQU94DJX65XD	The original backroads "bobby"
A1FR68QH6Z4YZM	kkrome25 "kkrome25"
A1FRPGQYQTAOR1	Les
A1FRZ6EHBW1350	MCS "MCS"
A1FTL14XRRE6W7	Johnny K. Young
A1FVTH83EMVPQC	ShaiLynne Glosser
A1FWXXQ26ZKGP1	Bu Tino
